id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
flare-networks,flr,Flare,https://assets.coingecko.com/coins/images/28624/large/FLR-icon200x200.png?1673325704,0.01322623,301480323,109,1339194653.0,2535328.0,0.01333348,0.0127706,0.0001232,0.94021,4061050.0,1.36543,22790013258.5134,101234679610.605,,0.150073,-91.18276,2023-01-10T03:14:05.921Z,0.01228846,7.68065,2023-08-18T02:45:34.091Z,,2023-08-23T03:38:41.282Z
woo-network,woo,WOO Network,https://assets.coingecko.com/coins/images/12921/large/w2UiemF__400x400.jpg?1603670367,0.173053,300157700,110,389209745.0,12962093.0,0.175637,0.164569,0.0005517,0.31982,922846.0,0.3084,1735703136.07641,2250658820.90186,2250658820.90186,1.78,-90.24762,2021-11-15T13:44:18.437Z,0.02211546,684.18405,2021-01-04T10:19:13.803Z,,2023-08-23T03:38:41.977Z
compound-governance-token,comp,Compound,https://assets.coingecko.com/coins/images/10775/large/COMP.png?1592625425,42.34,290254486,111,423353056.0,63301900.0,44.95,40.58,0.01125622,0.02659,246714.0,0.08507,6856085.76329154,10000000.0,10000000.0,910.54,-95.3439,2021-05-12T02:29:08.794Z,25.74,64.70555,2023-06-10T16:15:05.289Z,,2023-08-23T03:38:41.305Z
liquity-usd,lusd,Liquity USD,https://assets.coingecko.com/coins/images/14666/large/Group_3.png?1617631327,0.999461,290201105,112,290201105.0,3659507.0,1.005,0.99088,0.00098049,0.0982,-156310.93759912252,-0.05383,290501186.989978,290501186.989978,,1.16,-13.69801,2021-04-05T14:47:52.665Z,0.896722,11.47903,2022-01-27T09:42:06.510Z,,2023-08-23T03:38:34.455Z
arweave,ar,Arweave,https://assets.coingecko.com/coins/images/4343/large/oRt6SiEN_400x400.jpg?1591059616,4.37,285504004,113,287884787.0,16060943.0,4.44,4.21,-0.022826643363242027,-0.51953,-2405535.027151227,-0.83552,65454185.5381511,65454185.5381511,66000000.0,89.24,-95.10687,2021-11-05T04:14:42.689Z,0.298788,1361.36987,2020-01-31T06:47:36.543Z,"{'times': 4.9066493781196066, 'currency': 'usd', 'percentage': 490.66493781196067}",2023-08-23T03:38:41.166Z
staked-frax-ether,sfrxeth,Staked Frax Ether,https://assets.coingecko.com/coins/images/28285/large/sfrxETH_icon.png?1679886768,1719.03,285386825,114,285386825.0,212966.0,1755.22,1684.25,-31.26249455905122,-1.78613,-5994808.807708681,-2.05737,166088.241602139,166088.241602139,,7545.09,-77.2115,2023-02-16T07:51:36.849Z,1147.58,49.82899,2022-12-23T11:50:57.675Z,,2023-08-23T03:37:24.252Z
astar,astr,Astar,https://assets.coingecko.com/coins/images/22617/large/astr.png?1642314057,0.060447,284131451,115,487614843.0,14363074.0,0.06084,0.058786,0.00012165,0.20166,-527256.2701337337,-0.18522,4722073606.0,8103830725.0,,0.421574,-85.72056,2022-01-17T13:34:36.289Z,0.03269521,84.1197,2022-10-13T13:05:41.982Z,,2023-08-23T03:38:43.189Z
zilliqa,zil,Zilliqa,https://assets.coingecko.com/coins/images/2687/large/Zilliqa-logo.png?1547036894,0.01669051,282039242,116,350358769.0,12139054.0,0.01678505,0.01612399,-8.5902633721657e-05,-0.51204,-1538331.6649635434,-0.54247,16905025941.5594,17954032130.9094,21000000000.0,0.255376,-93.45836,2021-05-06T17:33:45.940Z,0.00239616,597.18939,2020-03-13T02:22:55.161Z,"{'times': 0.20689910659038135, 'currency': 'eth', 'percentage': 20.689910659038134}",2023-08-23T03:38:39.659Z
mx-token,mx,MX,https://assets.coingecko.com/coins/images/8545/large/MEXC_GLOBAL_LOGO.jpeg?1670213280,2.75,277636684,117,1195133566.0,390851.0,2.76,2.68,0.0285825,1.04844,2719938.0,0.98937,100709834.0,433522334.0,,3.7,-25.42138,2021-12-02T00:59:40.216Z,0.04218457,6439.51212,2019-11-25T05:59:45.392Z,,2023-08-23T03:38:36.845Z
sei-network,sei,Sei,https://assets.coingecko.com/coins/images/28205/large/TKmaTqMv_400x400.jpeg?1668395911,0.152439,274473178,118,1524850989.0,121377182.0,0.156648,0.146315,-0.000259879948728586,-0.17019,-2389832.4184160233,-0.86318,1800000000.0,10000000000.0,,0.455153,-66.48116,2023-08-16T02:30:15.888Z,0.144527,5.55929,2023-08-21T16:05:30.905Z,,2023-08-23T03:38:41.427Z
